24;ABOU ANNI;A B O U   A N N I;PV
46;ADILSON AMADEU;A D I L S O N  A M A D E;PTB
34;ADOLFO QUINTAS;A D O L F O  Q U I N T A;PSDB
5;AGNALDO TIMÓTEO;A G N A L D O   T I M Ó T;PR
2;ALFREDINHO;A L F R E D I N H O;PT
17;ANIBAL DE FREITAS FIILHO;A N I B A L  D E  F R E I;PSDB
9;ANTONIO CARLOS RODRIGUES;A C. R O D R I G U E S;PR
53;ANTONIO DONATO;D O N A T O;PT
51;ANTONIO GOULART;G O U L A R T;PSD
8;ARSELINO TATTO;A R S E L I N O  T A T T;PT
14;ATÍLIO FRANCISCO;A T Í L I O  F R A N C I;PRB
39;ATTILA RUSSOMANNO;A T T I L A   R U S S O M;PP
6;AURÉLIO MIGUEL;A U R É L I O   M I G U E;PR
42;AURÉLIO NOMURA;A U R É L I O   N O M U R;PSDB
16;CARLOS APOLINÁRIO;C A R L O S  A P O L I N;DEM
37;CARLOS NEDER;C A R L O S  N E D E R;PT
19;CELSO JATENE;C E L S O  J A T E N E;PTB
47;CHICO MACENA;C H I C O  M A C E N A;PT
12;CLAUDINHO DE SOUZA;C L A U D I N H O DE SOUZ;PSDB
4;CLAUDIO FONSECA;C L A U D I O  F O N S E;PPS
49;CLAUDIO PRADO;C L A U D I O  P R A D O;PDT
25;DALTON SILVANO;D A L T O N  S I L V A N;PV
28;DAVID BEZERRA RIBEIRO SOARES;D A V I D  S O A R E S;PSD
20;DOMINGOS DISSEI;D O M I N G O S  D I S S;PSD
32;EDIR SALES;E D I R   S A L E S;PSD
50;ELISEU GABRIEL;E L I S E U  G A B R I E;PSB
11;FLORIANO PESARO;F L O R I A N O  P E S A;PSDB
1;FRANCISCO CHAGAS;F R A N C I S C O   C H A;PT
26;GILBERTO NATALINI;N A T A L I N I;PV
29;GILSON BARRETO;G I L S O N  B A R R E T;PSDB
21;ÍTALO CARDOSO;Í T A L O  C A R D O S O;PT
22;JAMIL MURAD;J A M I L  M U R A D;PCdoB
35;JOSÉ AMÉRICO;J O S É  A M É R I C O;PT
7;JOSÉ FERREIRA (ZELÃO);J O S É  F E R R E I R A;PT
36;JOSÉ POLICE NETO;J O S É  P O L I C E  N E;PSD
18;JOSÉ ROLIM;J O S É  R O L I M;PSDB
27;JULIANA CARDOSO;J U L I A N A  C A R D O;PT
13;JUSCELINO GADELHA;J U S C E L I N O  G A D;PSB
31;MARCO AURÉLIO CUNHA;M A R C O  AURÉLIO  C U N;PSD
30;MARTA COSTA;M A R T A  C O S T A;PSD
10;MILTON FERREIRA;M I L T O N  F E R R E I;PSD
33;MILTON LEITE;M I L T O N  L E I T E;DEM
40;NETINHO DE PAULA;N E T I N H O  D E  P A U;PCdoB
3;NOEMI NONATO;N O E M I  N O N A T O;PSB
45;PAULO FRANGE;P A U L O  F R A N G E;PTB
23;QUITO FORMIGA;Q U I T O  F O R M I G A;PR
55;RICARDO TEIXEIRA;R I C A R D O  T E I X E;PV
38;ROBERTO TRIPOLI;R O B E R T O  T R I P O;PV
44;SANDRA TADEU;S A N D R A  T A D E U;DEM
48;SENIVAL MOURA;S E N I V A L  M O U R A;PT
52;SOUZA SANTOS;S O U Z A  S A N T O S;PSD
41;TIÃO FARIAS;T I Ã O    F A R I A S;PSDB
15;TONINHO PAIVA;T O N I N H O  P A I V A;PR
43;USHITARO KAMIA;U S H I T A R O  K A M I;PSD
54;WADIH MUTRAN;W A D I H  M U T R A N;PP
